#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  15500      1.20e+00    1.34e+00      1.37e-02    1.14e-02      8.92e-02    9.96e-02    1.8e-04
  15600      1.10e+00    1.04e+00      8.74e-03    9.25e-03      8.18e-02    7.72e-02    1.8e-04
  15700      1.08e+00    8.81e-01      4.30e-03    4.92e-03      8.06e-02    6.59e-02    1.8e-04
  15800      1.22e+00    1.12e+00      1.96e-03    4.81e-04      9.09e-02    8.37e-02    1.8e-04
  15900      1.06e+00    9.07e-01      2.85e-03    1.35e-03      7.96e-02    6.78e-02    1.8e-04
  16000      1.08e+00    1.08e+00      6.53e-03    7.71e-03      8.08e-02    8.06e-02    1.8e-04
  16100      1.03e+00    1.01e+00      1.42e-02    1.18e-02      7.68e-02    7.49e-02    1.8e-04
  16200      1.12e+00    9.54e-01      1.17e-02    1.09e-02      8.33e-02    7.10e-02    1.8e-04
  16300      1.12e+00    9.60e-01      2.66e-03    3.04e-03      8.38e-02    7.18e-02    1.8e-04
  16400      1.17e+00    1.11e+00      5.88e-03    7.08e-03      8.73e-02    8.25e-02    1.8e-04
  16500      1.17e+00    1.07e+00      5.94e-03    5.69e-03      8.73e-02    8.00e-02    1.8e-04
  16600      1.10e+00    1.21e+00      5.91e-03    6.38e-03      8.25e-02    9.06e-02    1.8e-04
  16700      1.13e+00    1.19e+00      3.72e-03    5.52e-03      8.46e-02    8.93e-02    1.8e-04
  16800      1.13e+00    9.69e-01      1.35e-02    1.33e-02      8.38e-02    7.19e-02    1.8e-04
  16900      1.05e+00    9.95e-01      7.88e-04    6.93e-04      7.84e-02    7.44e-02    1.8e-04
  17000      9.90e-01    1.02e+00      7.02e-03    7.99e-03      7.39e-02    7.59e-02    1.8e-04
  17100      1.10e+00    1.03e+00      6.26e-03    7.20e-03      8.22e-02    7.65e-02    1.8e-04
  17200      1.10e+00    1.12e+00      1.04e-02    9.62e-03      8.19e-02    8.39e-02    1.8e-04
  17300      1.14e+00    1.10e+00      1.79e-03    2.26e-03      8.53e-02    8.21e-02    1.8e-04
  17400      1.16e+00    1.17e+00      5.36e-03    4.57e-03      8.68e-02    8.77e-02    1.8e-04
  17500      1.09e+00    8.91e-01      2.12e-03    4.13e-03      8.12e-02    6.66e-02    1.8e-04
  17600      1.11e+00    1.19e+00      1.87e-03    1.90e-04      8.33e-02    8.87e-02    1.8e-04
  17700      1.17e+00    9.62e-01      1.36e-02    1.41e-02      8.67e-02    7.13e-02    1.8e-04
